coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,number_of_loss_order,average_profit,average_loss,profit_amounts,loss_amounts,avarage_pnl_per_month
eth,689,-13,13,16,4,1,3,25.9,-13.2,"""[25.89]""","""[-5.99, -22.63, -10.84]""",-0.6
eth,689,-18,13,17,4,1,3,25.1,-14.5,"""[25.11]""","""[-9.14, -22.63, -11.65]""",-0.8
eth,689,-24,13,18,4,1,3,23.5,-15.8,"""[23.5]""","""[-12.58, -23.28, -11.65]""",-1.0
eth,689,-29,13,19,4,1,3,23.5,-17.7,"""[23.5]""","""[-15.01, -25.2, -12.88]""",-1.3
eth,689,-32,13,20,4,1,3,23.5,-18.8,"""[23.5]""","""[-18.21, -25.2, -12.88]""",-1.4
eth,689,-19,13,21,3,1,2,22.3,-21.1,"""[22.33]""","""[-25.83, -16.41]""",-0.9
eth,689,-4,13,22,2,1,1,20.9,-25.8,"""[20.92]""","""[-25.83]""",-0.2
eth,689,40,14,7,15,6,9,18.7,-8.0,"""[2.43, 36.76, 20.86, 18.71, 0.72, 32.87]""","""[-9.19, -12.53, -6.7, -9.48, -4.89, -10.46, -5.45, -8.98, -3.87]""",1.8
eth,689,23,14,8,14,5,9,19.8,-8.4,"""[5.25, 35.99, 18.23, 10.64, 28.67]""","""[-11.18, -13.31, -6.7, -10.06, -11.23, -9.38, -0.72, -8.98, -3.87]""",1.0
eth,689,-31,14,9,12,4,8,12.9,-10.3,"""[3.58, 26.16, 11.36, 10.64]""","""[-15.12, -17.09, -12.02, -11.23, -9.38, -2.37, -10.35, -5.25]""",-1.4
eth,689,-16,14,10,9,4,5,9.2,-10.6,"""[0.36, 20.31, 7.32, 8.6]""","""[-19.0, -12.02, -4.57, -11.39, -6.23]""",-0.7
eth,689,-26,14,11,8,3,5,10.1,-11.4,"""[16.96, 12.72, 0.73]""","""[-26.26, -2.59, -12.02, -5.13, -11.25]""",-1.2
eth,689,-2,14,12,6,2,4,11.2,-6.2,"""[11.14, 11.34]""","""[-4.46, -12.82, -0.48, -6.9]""",-0.1
eth,689,-24,14,13,6,2,4,8.2,-10.3,"""[7.13, 9.37]""","""[-7.88, -21.47, -2.28, -9.42]""",-1.1
eth,689,-42,14,14,6,2,4,5.0,-13.1,"""[4.41, 5.6]""","""[-12.56, -21.47, -8.92, -9.42]""",-1.8
eth,689,-9,14,15,4,1,3,25.9,-11.9,"""[25.89]""","""[-2.85, -22.63, -10.14]""",-0.4
eth,689,-13,14,16,4,1,3,25.9,-13.2,"""[25.89]""","""[-5.99, -22.63, -10.84]""",-0.6
eth,689,-18,14,17,4,1,3,25.1,-14.7,"""[25.11]""","""[-9.14, -23.28, -11.65]""",-0.8
eth,689,-29,14,18,4,1,3,23.5,-17.8,"""[23.5]""","""[-15.01, -25.6, -12.88]""",-1.3
eth,689,-34,14,19,4,1,3,23.5,-19.4,"""[23.5]""","""[-18.21, -27.23, -12.88]""",-1.5
eth,689,-40,14,20,4,1,3,22.7,-21.0,"""[22.68]""","""[-21.31, -28.43, -13.31]""",-1.8
eth,689,0,14,21,2,1,1,25.4,-25.8,"""[25.43]""","""[-25.83]""",-0.0
eth,689,-6,14,22,2,1,1,20.9,-27.2,"""[20.92]""","""[-27.25]""",-0.3
eth,689,48,15,7,15,6,9,18.9,-7.1,"""[1.06, 36.76, 20.86, 20.06, 1.65, 32.87]""","""[-7.3, -12.53, -6.7, -5.52, -4.89, -10.46, -5.45, -7.6, -3.87]""",2.1
eth,689,-11,15,8,13,4,9,15.5,-8.2,"""[5.25, 27.69, 18.23, 10.64]""","""[-11.18, -13.98, -6.7, -9.99, -8.61, -9.38, -0.72, -8.98, -3.87]""",-0.5
